status_id,party_key,status,status_effective_date,created_date,updated_date
33,0033f212-10a3-4d4f-8bb0-bf87ec8815c5,VERIFIED,NULL,2024-05-13 19:36:17.000,2024-05-14 20:00:37.000
34,0033f212-10a3-4d4f-8bb0-bf87ec8815c5,PROSPECT,NULL,2024-05-13 19:36:17.000,2024-05-13 19:41:05.000
35,0033f212-10a3-4d4f-8bb0-bf87ec8815c5,PROSPECT,NULL,2024-05-13 19:36:17.000,2024-05-13 19:36:17.000
36,0034d494-d39d-4957-90f7-07fb99a92381,PROSPECT,NULL,2023-09-08 10:34:48.000,2023-09-08 10:35:52.000
37,0034d494-d39d-4957-90f7-07fb99a92381,PROSPECT,NULL,2023-09-08 10:34:48.000,2023-09-08 10:34:48.000
38,0034d494-d39d-4957-90f7-07fb99a92381,PROVISIONED,NULL,2023-09-08 10:34:48.000,2023-09-08 10:37:21.000
39,0034d494-d39d-4957-90f7-07fb99a92381,COMPLETE,NULL,2023-09-08 10:34:48.000,2023-09-08 10:36:51.000
40,003b2979-f497-4684-8c8b-764a7fd663c6,PROVISIONED,NULL,2024-05-31 05:23:05.000,2024-05-31 05:23:06.000
41,003b2979-f497-4684-8c8b-764a7fd663c6,COMPLETE,NULL,2024-05-31 05:23:05.000,2024-05-31 05:23:05.000
42,003b2979-f497-4684-8c8b-764a7fd663c6,PROSPECT,NULL,2024-05-31 05:23:05.000,2024-05-31 05:23:05.000
43,0040f40b-3fba-4856-8dcc-b3561e2bf906,PROSPECT,NULL,2024-05-27 05:16:06.000,2024-05-27 05:16:06.000
44,0040f40b-3fba-4856-8dcc-b3561e2bf906,COMPLETE,NULL,2024-05-27 05:16:06.000,2024-05-27 05:16:06.000
45,0040f40b-3fba-4856-8dcc-b3561e2bf906,PROVISIONED,NULL,2024-05-27 05:16:06.000,2024-05-27 05:16:07.000
46,004e26ec-052b-40d6-8bbf-31425cf77a35,PROSPECT,NULL,2024-05-23 08:03:23.000,2024-05-23 08:03:23.000
47,004e26ec-052b-40d6-8bbf-31425cf77a35,PROVISIONED,NULL,2024-05-23 08:03:23.000,2024-05-23 08:03:25.000
