created_date,party_key,status,action_codes,risk_rating,outcomes,explanations,risk_score,updated_date
2024-11-22 03:21:17.000,0711c612-a6bb-45b7-8a39-0efa2117a748,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-22 03:21:17.000
2024-09-09 14:53:02.000,0775e328-697e-4f57-b446-7ce156d28b30,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-09-09 14:53:02.000
2024-12-10 13:47:24.000,07a02d5f-ceed-464c-8287-51a4128431fa,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-12-10 13:47:24.000
2024-11-14 14:07:18.000,08aa06c2-aa7b-479b-8ba8-5255a6d5cb1d,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-14 14:07:18.000
2024-06-24 03:30:35.000,08bf7081-2463-4a65-a74e-c14f292a8fa7,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-06-24 03:30:35.000
2024-07-05 14:55:46.000,08ce1b69-3ef7-4093-8994-001d2604f295,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-07-05 14:55:46.000
2024-09-03 17:37:56.000,08d9e4ac-958d-46a3-bac5-f0d47165ab16,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-09-03 17:37:56.000
2024-10-11 08:53:56.000,092b340a-2c16-496f-bf93-09c070da1ceb,ok,[],High Risk,"{rca=no match, account_opening_decision=review, risk_scoring_decision=true, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=true, internal_lists=no match",[],793,2024-10-11 08:53:56.000
2024-06-07 07:27:55.000,09749d2a-afcd-4ff4-8b64-f4aa6790f4db,ok,[],High Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=true, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no mat",[],793,2024-06-07 07:27:55.000
2024-11-25 10:08:06.000,0a0f60ce-ace0-42a1-ab7d-36d7e45daf29,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-25 10:08:06.000
