metadata_created_date,metadata_updated_date,subscription_key,party_key,parent_subscription_key,subscription_status
2024-05-23 08:36:59.450,2024-11-21 06:53:34.823,88a1f307-7684-4071-a85b-ff51f4943b36,001f0080-ce79-4e00-9025-c632a7eb921d,,ACTIVE
2023-10-02 09:36:49.632,2023-10-06 11:00:14.852,99cee2f4-7ca0-4c0d-b2f2-1db0cbbe58af,00254c5c-3e68-4a61-9896-b9bf698a7a44,,ACTIVE
2023-10-02 09:36:49.632,2023-11-06 22:50:05.461,99cee2f4-7ca0-4c0d-b2f2-1db0cbbe58af,00254c5c-3e68-4a61-9896-b9bf698a7a44,,ACTIVE
2023-10-02 09:36:49.632,2023-10-11 14:17:18.404,99cee2f4-7ca0-4c0d-b2f2-1db0cbbe58af,00254c5c-3e68-4a61-9896-b9bf698a7a44,,ACTIVE
2023-10-02 09:36:49.632,2023-10-20 13:20:14.355,99cee2f4-7ca0-4c0d-b2f2-1db0cbbe58af,00254c5c-3e68-4a61-9896-b9bf698a7a44,,ACTIVE
2023-10-02 09:36:49.632,2023-10-19 12:40:19.769,99cee2f4-7ca0-4c0d-b2f2-1db0cbbe58af,00254c5c-3e68-4a61-9896-b9bf698a7a44,,ACTIVE
2024-05-23 13:45:46.186,2024-10-30 05:22:52.741,38d27457-4ee3-44ea-8602-0bfb3aea40b0,002fad35-bb49-4fdb-953e-62628015ca6b,,ACTIVE
2024-05-23 13:45:46.186,2024-08-15 15:03:31.779,38d27457-4ee3-44ea-8602-0bfb3aea40b0,002fad35-bb49-4fdb-953e-62628015ca6b,,ACTIVE
2024-05-23 13:45:46.186,2024-08-28 09:41:28.192,38d27457-4ee3-44ea-8602-0bfb3aea40b0,002fad35-bb49-4fdb-953e-62628015ca6b,,ACTIVE
2024-05-23 13:45:46.003,2024-05-23 13:45:46.003,31c84e14-f6dd-4987-9f02-cf024dfec3d9,002fad35-bb49-4fdb-953e-62628015ca6b,,ACTIVE
2024-05-23 13:45:46.186,2024-07-22 10:20:46.281,38d27457-4ee3-44ea-8602-0bfb3aea40b0,002fad35-bb49-4fdb-953e-62628015ca6b,,ACTIVE
2024-05-23 13:45:46.186,2024-08-27 10:02:30.381,38d27457-4ee3-44ea-8602-0bfb3aea40b0,002fad35-bb49-4fdb-953e-62628015ca6b,,ACTIVE
2024-05-23 13:45:46.186,2024-10-15 12:02:19.112,38d27457-4ee3-44ea-8602-0bfb3aea40b0,002fad35-bb49-4fdb-953e-62628015ca6b,,ACTIVE
2024-05-23 13:45:46.186,2024-10-23 14:18:39.257,38d27457-4ee3-44ea-8602-0bfb3aea40b0,002fad35-bb49-4fdb-953e-62628015ca6b,,ACTIVE
2024-05-23 13:45:46.186,2024-11-04 08:56:10.187,38d27457-4ee3-44ea-8602-0bfb3aea40b0,002fad35-bb49-4fdb-953e-62628015ca6b,,ACTIVE
2024-05-23 13:45:46.186,2024-11-21 06:53:12.256,38d27457-4ee3-44ea-8602-0bfb3aea40b0,002fad35-bb49-4fdb-953e-62628015ca6b,,ACTIVE
2024-05-23 13:45:46.186,2024-05-23 13:45:46.186,38d27457-4ee3-44ea-8602-0bfb3aea40b0,002fad35-bb49-4fdb-953e-62628015ca6b,,ACTIVE
2024-05-31 05:23:16.160,2024-08-27 10:04:03.189,362d7d63-a52d-4429-9376-bc5171a2f16c,003b2979-f497-4684-8c8b-764a7fd663c6,,ACTIVE
2024-05-31 05:23:12.317,2024-05-31 05:23:12.317,59b2c849-0a6d-4ea7-a1dc-84b61b85e1c0,003b2979-f497-4684-8c8b-764a7fd663c6,,ACTIVE
2024-05-31 05:23:16.160,2024-05-31 05:23:16.160,362d7d63-a52d-4429-9376-bc5171a2f16c,003b2979-f497-4684-8c8b-764a7fd663c6,,ACTIVE
2024-05-31 05:23:16.160,2024-10-30 05:20:55.317,362d7d63-a52d-4429-9376-bc5171a2f16c,003b2979-f497-4684-8c8b-764a7fd663c6,,ACTIVE
2024-05-31 05:23:16.160,2024-08-28 09:40:46.669,362d7d63-a52d-4429-9376-bc5171a2f16c,003b2979-f497-4684-8c8b-764a7fd663c6,,ACTIVE
2024-05-31 05:23:16.160,2024-11-04 08:57:42.018,362d7d63-a52d-4429-9376-bc5171a2f16c,003b2979-f497-4684-8c8b-764a7fd663c6,,ACTIVE
2024-05-31 05:23:16.160,2024-10-15 12:01:36.254,362d7d63-a52d-4429-9376-bc5171a2f16c,003b2979-f497-4684-8c8b-764a7fd663c6,,ACTIVE
2024-05-31 05:23:16.160,2024-07-22 11:10:15.105,362d7d63-a52d-4429-9376-bc5171a2f16c,003b2979-f497-4684-8c8b-764a7fd663c6,,ACTIVE
2024-05-31 05:23:16.160,2024-11-21 06:55:40.088,362d7d63-a52d-4429-9376-bc5171a2f16c,003b2979-f497-4684-8c8b-764a7fd663c6,,ACTIVE
2024-05-31 05:23:16.160,2024-08-15 15:02:16.409,362d7d63-a52d-4429-9376-bc5171a2f16c,003b2979-f497-4684-8c8b-764a7fd663c6,,ACTIVE
2024-05-31 05:23:16.160,2024-10-23 14:18:49.857,362d7d63-a52d-4429-9376-bc5171a2f16c,003b2979-f497-4684-8c8b-764a7fd663c6,,ACTIVE
2024-05-27 05:16:10.457,2024-05-27 05:16:10.457,ae062e9f-be90-4d00-8010-929dceb81030,0040f40b-3fba-4856-8dcc-b3561e2bf906,,ACTIVE
2024-05-27 05:16:10.457,2024-11-04 08:57:08.297,ae062e9f-be90-4d00-8010-929dceb81030,0040f40b-3fba-4856-8dcc-b3561e2bf906,,ACTIVE
2024-05-27 05:16:10.457,2024-07-22 10:50:14.836,ae062e9f-be90-4d00-8010-929dceb81030,0040f40b-3fba-4856-8dcc-b3561e2bf906,,ACTIVE
2024-05-27 05:16:10.182,2024-05-27 05:16:10.182,425393c0-cdf5-4697-a635-b1720d042b17,0040f40b-3fba-4856-8dcc-b3561e2bf906,,ACTIVE
2024-05-27 05:16:10.457,2024-08-28 09:42:16.025,ae062e9f-be90-4d00-8010-929dceb81030,0040f40b-3fba-4856-8dcc-b3561e2bf906,,ACTIVE
2024-05-27 05:16:10.457,2024-11-21 06:54:37.526,ae062e9f-be90-4d00-8010-929dceb81030,0040f40b-3fba-4856-8dcc-b3561e2bf906,,ACTIVE
2024-05-27 05:16:10.457,2024-10-30 05:22:50.727,ae062e9f-be90-4d00-8010-929dceb81030,0040f40b-3fba-4856-8dcc-b3561e2bf906,,ACTIVE
2024-05-27 05:16:10.457,2024-08-27 10:01:42.261,ae062e9f-be90-4d00-8010-929dceb81030,0040f40b-3fba-4856-8dcc-b3561e2bf906,,ACTIVE
2024-05-27 05:16:10.457,2024-10-23 14:16:58.967,ae062e9f-be90-4d00-8010-929dceb81030,0040f40b-3fba-4856-8dcc-b3561e2bf906,,ACTIVE
2024-05-27 05:16:10.457,2024-08-15 15:02:19.457,ae062e9f-be90-4d00-8010-929dceb81030,0040f40b-3fba-4856-8dcc-b3561e2bf906,,ACTIVE
2024-05-27 05:16:10.457,2024-10-15 12:02:20.512,ae062e9f-be90-4d00-8010-929dceb81030,0040f40b-3fba-4856-8dcc-b3561e2bf906,,ACTIVE
2023-09-01 14:25:10.378,2023-11-17 14:00:23.200,9bdca222-d894-4bc8-92ea-bbd3ef24e6a0,0042a796-5342-4e10-8c26-f3cd5cd01995,,ACTIVE
2024-12-04 06:04:11.443,2025-02-04 15:00:07.000,b60f844e-6160-4ada-8d35-eb5ae06c59cf,0042a796-5342-4e10-8c26-f3cd5cd01995,,ACTIVE
2023-09-07 13:54:14.967,2023-12-01 16:00:22.895,b29e87cd-192e-4799-a505-8103b69d7494,0042a796-5342-4e10-8c26-f3cd5cd01995,,ACTIVE
